Season,Week,Contestant,Judge_Score_Raw,Reconstructed_Vote_Share,Result_Status,Is_Eliminated
1,2,John O'Hurley,26.0,0.2303774846441775,2nd Place,False
1,2,Kelly Monaco,17.0,0.16683786591101407,1st Place,False
1,2,Evander Holyfield,14.0,0.18841722683185902,Eliminated Week 3,False
1,2,Rachel Hunter,24.0,0.1654103985679281,Eliminated Week 4,False
1,2,Joey McIntyre,21.0,0.1557878924512574,3rd Place,False
1,2,Trista Sutter,19.0,0.09316913159376378,Eliminated Week 2,True
1,3,John O'Hurley,24.0,0.22524786530851623,2nd Place,False
1,3,Kelly Monaco,21.0,0.20513446142524794,1st Place,False
1,3,Evander Holyfield,13.0,0.12092389374575299,Eliminated Week 3,True
1,3,Rachel Hunter,26.0,0.22898884103494713,Eliminated Week 4,False
1,3,Joey McIntyre,22.0,0.21970493848553568,3rd Place,False
1,4,John O'Hurley,21.0,0.2821039488507427,2nd Place,False
1,4,Kelly Monaco,26.0,0.26125322851587024,1st Place,False
1,4,Rachel Hunter,25.0,0.12831641131669363,Eliminated Week 4,True
1,4,Joey McIntyre,20.0,0.3283264113166935,3rd Place,False
2,1,Tatum O'Neal,23.0,0.1324792413516042,Eliminated Week 2,False
2,1,Tia Carrere,20.0,0.10748633896297359,Eliminated Week 5,False
2,1,George Hamilton,18.0,0.07747030783019186,Eliminated Week 6,False
2,1,Lisa Rinna,19.0,0.11519340289850813,Eliminated Week 7,False
2,1,Stacy Keibler,22.0,0.10887729032561881,3rd Place,False
2,1,Jerry Rice,21.0,0.09354079356879375,2nd Place,False
2,1,Giselle Fernandez,23.0,0.13476301270886792,Eliminated Week 3,False
2,1,Master P,12.0,0.06689213403106427,Eliminated Week 4,False
2,1,Drew Lachey,24.0,0.11493386280983174,1st Place,False
2,1,Kenny Mayne,13.0,0.048363615512545755,Eliminated Week 1,True
2,2,Tatum O'Neal,17.0,0.07114473586682575,Eliminated Week 2,True
2,2,Tia Carrere,22.0,0.12004239934292169,Eliminated Week 5,False
2,2,George Hamilton,22.0,0.12415019090447275,Eliminated Week 6,False
2,2,Lisa Rinna,20.0,0.09115098535275964,Eliminated Week 7,False
2,2,Stacy Keibler,29.0,0.12442225946773008,3rd Place,False
2,2,Jerry Rice,23.0,0.12023136660331037,2nd Place,False
2,2,Giselle Fernandez,24.0,0.11324915205757514,Eliminated Week 3,False
2,2,Master P,16.0,0.0938820085940985,Eliminated Week 4,False
2,2,Drew Lachey,27.0,0.14172690181030617,1st Place,False
2,3,Tia Carrere,26.0,0.14825690345259987,Eliminated Week 5,False
2,3,George Hamilton,22.0,0.12376978722701738,Eliminated Week 6,False
2,3,Lisa Rinna,25.0,0.1501474773626044,Eliminated Week 7,False
2,3,Stacy Keibler,27.0,0.13430332118126947,3rd Place,False
2,3,Jerry Rice,19.0,0.0981584689819459,2nd Place,False
2,3,Giselle Fernandez,22.0,0.0681023262081741,Eliminated Week 3,True
2,3,Master P,14.0,0.12693585561993884,Eliminated Week 4,False
2,3,Drew Lachey,27.0,0.15032585996645023,1st Place,False
2,4,Tia Carrere,25.0,0.14255384905623408,Eliminated Week 5,False
2,4,George Hamilton,21.0,0.14003862607222567,Eliminated Week 6,False
2,4,Lisa Rinna,26.0,0.17962379108419207,Eliminated Week 7,False
2,4,Stacy Keibler,26.0,0.15529730574231806,3rd Place,False
2,4,Jerry Rice,24.0,0.15415679774528315,2nd Place,False
2,4,Master P,8.0,0.040684108284292114,Eliminated Week 4,True
2,4,Drew Lachey,28.0,0.18764552201545479,1st Place,False
2,5,Tia Carrere,22.0,0.1264463082924142,Eliminated Week 5,True
2,5,George Hamilton,24.0,0.15904595945709554,Eliminated Week 6,False
2,5,Lisa Rinna,25.0,0.17697604075725246,Eliminated Week 7,False
2,5,Stacy Keibler,30.0,0.20474187319403134,3rd Place,False
2,5,Jerry Rice,23.0,0.14857244897900537,2nd Place,False
2,5,Drew Lachey,27.0,0.18421736932020105,1st Place,False
2,6,George Hamilton,23.0,0.15873502515812488,Eliminated Week 6,True
2,6,Lisa Rinna,27.0,0.21826885597132267,Eliminated Week 7,False
2,6,Stacy Keibler,30.0,0.21493965037983828,3rd Place,False
2,6,Jerry Rice,23.0,0.15874502515812489,2nd Place,False
2,6,Drew Lachey,30.0,0.2493114433325893,1st Place,False
2,7,Lisa Rinna,26.5,0.1779871744632079,Eliminated Week 7,True
2,7,Stacy Keibler,27.5,0.24707662189064603,3rd Place,False
2,7,Jerry Rice,20.5,0.2891082855743189,2nd Place,False
2,7,Drew Lachey,27.5,0.2858279180718272,1st Place,False
3,1,Harry Hamlin,17.0,0.06416815956781459,Eliminated Week 3,False
3,1,Vivica A. Fox,22.0,0.11668561484699981,Eliminated Week 4,False
3,1,Monique Coleman,19.0,0.09457179348424909,Eliminated Week 8,False
3,1,Joey Lawrence,21.0,0.10221415360180566,3rd Place,False
3,1,Mario Lopez,26.0,0.11235827781799394,2nd Place,False
3,1,Emmitt Smith,24.0,0.1111476068801253,1st Place,False
3,1,Shanna Moakler,18.0,0.10965103043089854,Eliminated Week 2,False
3,1,Willa Ford,22.0,0.09586793241897239,Eliminated Week 5,False
3,1,Sara Evans,15.0,0.06268737333001004,Withdrew,False
3,1,Jerry Springer,16.0,0.05778546787485347,Eliminated Week 7,False
3,1,Tucker Carlson,12.0,0.07286258974627724,Eliminated Week 1,True
3,2,Harry Hamlin,21.0,0.09788063630087972,Eliminated Week 3,False
3,2,Vivica A. Fox,24.0,0.10653814191836457,Eliminated Week 4,False
3,2,Monique Coleman,26.0,0.1106317751169842,Eliminated Week 8,False
3,2,Joey Lawrence,29.0,0.11971770942384095,3rd Place,False
3,2,Mario Lopez,21.0,0.10148527041619142,2nd Place,False
3,2,Emmitt Smith,24.0,0.10701133535432322,1st Place,False
3,2,Shanna Moakler,22.0,0.039047106889115016,Eliminated Week 2,True
3,2,Willa Ford,23.0,0.10231890884128654,Eliminated Week 5,False
3,2,Sara Evans,21.0,0.0978806363008797,Withdrew,False
3,2,Jerry Springer,19.0,0.11748847943813465,Eliminated Week 7,False
3,3,Harry Hamlin,22.0,0.0679883109980674,Eliminated Week 3,True
3,3,Vivica A. Fox,27.0,0.129395065610408,Eliminated Week 4,False
3,3,Monique Coleman,27.0,0.12349842783884354,Eliminated Week 8,False
3,3,Joey Lawrence,22.0,0.10353387986208562,3rd Place,False
3,3,Mario Lopez,22.0,0.1199966261938332,2nd Place,False
3,3,Emmitt Smith,19.0,0.12062988994543586,1st Place,False
